E	Sunny	MCX bridge	MCX native	exact
268.0	-41.71222496032715	-41.73685073852539	-41.74688720703125	-41.72513759231225
272.0	-42.88942527770996	-42.9112491607666	-42.91230010986328	-42.89269233737025
276.0	-44.06446838378906	-44.10259437561035	-44.09031867980957	-44.07319487630275
280.0	-45.25869369506836	-45.29319763183594	-45.27690887451172	-45.26650908262417
284.0	-46.46995544433594	-46.509307861328125	-46.48192596435547	-46.472499271088935
288.0	-47.696533203125	-47.72637176513672	-47.69476318359375	-47.69103020931638
292.0	-48.92951202392578	-48.9599723815918	-48.92497253417969	-48.92196712763777
296.0	-50.17035102844238	-50.19697952270508	-50.17021369934082	-50.165175727156736
300.0	-51.42318534851074	-51.445770263671875	-51.424415588378906	-51.42052218598772
304.0	-52.68276405334473	-52.707420349121094	-52.68216514587402	-52.687873163606156
308.0	-53.96412467956543	-53.979698181152344	-53.965707778930664	-53.96709580320794
312.0	-55.257991790771484	-55.27909851074219	-55.25887680053711	-55.258057731931785
316.0	-56.56715774536133	-56.57607650756836	-56.57317924499512	-56.56062705874825
320.0	-57.880126953125	-57.89525032043457	-57.874671936035156	-57.87467236975965
324.0	-59.20953559875488	-59.22425079345703	-59.20017433166504	-59.20006272058984
328.0	-60.54521942138672	-60.57159423828125	-60.53554916381836	-60.5366676254645
332.0	-61.90202522277832	-61.919912338256836	-61.883419036865234	-61.884357042498976
336.0	-63.24872398376465	-63.2845458984375	-63.24853706359863	-63.24300135461468
340.0	-64.62578010559082	-64.65446853637695	-64.61437225341797	-64.6124713454009
344.0	-65.99754905700684	-66.03210067749023	-65.99854850769043	-65.99263816912602
348.0	-67.39254570007324	-67.42354202270508	-67.39536094665527	-67.38337331398131
352.0	-68.79000854492188	-68.82725715637207	-68.80182838439941	-68.78454855751326
356.0	-70.19338417053223	-70.23604202270508	-70.21547889709473	-70.1960359130693
360.0	-71.61348724365234	-71.66172409057617	-71.6473388671875	-71.61770756594888
364.0	-73.04015159606934	-73.08946228027344	-73.08252334594727	-73.04943579782221
368.0	-74.48640441894531	-74.51870727539062	-74.52058601379395	-74.49109289785346
372.0	-75.9308090209961	-75.96147918701172	-75.9761848449707	-75.94255105885495
376.0	-77.3964729309082	-77.42051124572754	-77.44123268127441	-77.40368225670386
380.0	-78.8663330078125	-78.89074897766113	-78.90983581542969	-78.87435811118618
384.0	-80.34574699401855	-80.36957168579102	-80.3787899017334	-80.35444972640039
388.0	-81.83796119689941	-81.85600471496582	-81.86921310424805	-81.84382750886729
392.0	-83.34232711791992	-83.35178756713867	-83.36639976501465	-83.34236096156539
396.0	-84.85452651977539	-84.85615348815918	-84.87681770324707	-84.84991845225753
400.0	-86.39253616333008	-86.36753845214844	-86.39727973937988	-86.36636695471185
404.0	-87.90824508666992	-87.89721488952637	-87.92523574829102	-87.89157176176786
408.0	-89.43951225280762	-89.40759658813477	-89.47444152832031	-89.42539616967923
412.0	-90.97710418701172	-90.95856094360352	-91.00430870056152	-90.96770113380506
416.0	-92.5304126739502	-92.50250816345215	-92.56546783447266	-92.51834489654868
420.0	-94.08710479736328	-94.05482482910156	-94.11224174499512	-94.07718258948827
424.0	-95.64547538757324	-95.62115287780762	-95.68094062805176	-95.64406581294088
428.0	-97.22252082824707	-97.1956558227539	-97.26837158203125	-97.21884219778067
432.0	-98.79311180114746	-98.76459503173828	-98.84895515441895	-98.80135495622619
436.0	-100.39650344848633	-100.35082054138184	-100.44539451599121	-100.39144243054028
440.0	-102.00057029724121	-101.93888664245605	-102.04293251037598	-101.98893765116506
444.0	-103.60928916931152	-103.54955673217773	-103.65820693969727	-103.59366791873063
448.0	-105.22865676879883	-105.15523529052734	-105.26948928833008	-105.20545442759831
452.0	-106.86141204833984	-106.7689037322998	-106.89945793151855	-106.82411195204705
456.0	-108.48508262634277	-108.38249588012695	-108.52780151367188	-108.44944861975915
460.0	-110.12590026855469	-110.00822067260742	-110.14878273010254	-110.08126580071294
464.0	-111.77301025390625	-111.64180755615234	-111.79501724243164	-111.71935814267414
468.0	-113.41794776916504	-113.28395652770996	-113.4601993560791	-113.36351378683764
472.0	-115.06237602233887	-114.9425220489502	-115.10806846618652	-115.01351479836248
476.0	-116.72062301635742	-116.60367774963379	-116.75844955444336	-116.6691378460527
480.0	-118.38147354125977	-118.2557258605957	-118.40659713745117	-118.33015516270251
484.0	-120.05460929870605	-119.91381454467773	-120.07945823669434	-119.99633581209801
488.0	-121.73146057128906	-121.57480239868164	-121.75969314575195	-121.66744727988342
